5.71.65915,	-8.36104
3.822	-9.03281
4.85818,	4.59654,	7.83266
4.88626,	4.81252,	7.69175
4.91435,	5.02065,	7.40991
4.94242,	5.22093,	7.13344
4.97051,	5.41335,	6.85067
4.99859,	5.59399,	6.43398
5.02668,	5.76285,	6.01018
5.05474,	5.91601,	5.45804
5.08282,	6.02596,	3.91685
5.11090,	6.07309,	1.67822
5.13897,	6.08290,	0.34971
5.16704,	6.05541,	-0.97908
5.19618,	6.00044,	-1.88698
5.22529,	5.92190,	-2.69780
5.25441,	5.81194,	-3.77596
5.28354,	5.67842,	-4.58322
5.31267,	5.51742,	-5.52835
5.34178,	5.34070,	-6.07009
5.37091,	5.14043,	-6.87482
5.40002,	4.93230,	-7.15027
5.42914,	4.70846,	-7.68675
5.45826,	4.47284,	-8.09134
5.48738,	4.22544,	-8.49588
5.51650,	3.97411,	-8.62963
5.54563,	3.71100,	-9.03281
5.57476,	3.44790,	-9.03398
5.60387,	3.18479,	-9.03784
5.63299,	2.91775,	-9.17018
5.66211,	2.65857,	-8.90046
5.69123,	2.39939,	-8.90046
5.72035,	2.14414,	-8.76561
5.74947,	1.88888,	-8.76560
5.77860,	1.64148,	-8.49353
5.80770,	1.39801,	-8.36447
5.83683,	1.15846,	-8.22390
5.86594,	0.92677,	-7.95973
5.89506,	0.69900,	-7.82162
5.92418,	0.47909,	-7.55191
5.95330,	0.27096,	-7.14640
5.98243,	0.07461,	-6.74178
6.01155,	-0.10996,	-6.33821
6.04171,	-0.28667,	-5.85850
6.07185,	-0.40841,	-4.03898
6.10202,	-0.47124,	-2.08246
6.13216,	-0.48302,	-0.39088
6.16233,	-0.46535,	0.58585
6.19146,	-0.41822,	1.61782
6.22057,	-0.33968,	2.69782
6.24969,	-0.23366,	3.64110
6.27882,	-0.10407,	4.44783
6.30794,	0.04909,	5.26074
6.33602,	0.21795,	6.01274
6.36410,	0.40252,	6.57206
6.39218,	0.59887,	6.99345
6.42026,	0.80700,	7.41205
6.44834,	1.02691,	7.83161
6.47642,	1.25467,	8.11240
6.50451,	1.48636,	8.24765
6.53259,	1.72984,	8.66953
6.56068,	1.97331,	8.66820
6.58875,	2.22071,	8.81429
6.61682,	2.46811,	8.81175
6.64491,	2.71551,	8.80816
6.67299,	2.95899,	8.67188
6.70108,	3.20246,	8.66819
6.72914,	3.43808,	8.39457
6.75723,	3.67370,	8.38986
6.78530,	3.90932,	8.39342
6.81338,	4.13708,	8.11007
6.84147,	4.36092,	7.97037
6.86954,	4.58083,	7.83492
6.89762,	4.79289,	7.55076
6.92569,	4.99709,	7.27429
6.95378,	5.19737,	7.13029
6.98186,	5.38194,	6.57206
7.00995,	5.55865,	6.29144
7.03802,	5.71966,	5.73629
7.06609,	5.84139,	4.33719
7.09416,	5.90423,	2.23796
7.12225,	5.92386,	0.69914
7.15033,	5.91404,	-0.34958
7.17945,	5.87477,	-1.34856
7.20858,	5.80801,	-2.29192
7.23770,	5.71377,	-3.23610
7.26682,	5.59203,	-4.18052
7.29594,	5.44673,	-4.99032
7.32505,	5.28180,	-5.66551
7.35418,	5.09330,	-6.47030
7.38330,	4.88910,	-7.01248
7.41242,	4.67312,	-7.41815
7.44154,	4.44142,	-7.95530
7.47066,	4.20188,	-8.22726
7.49979,	3.95448,	-8.49366
7.52890,	3.69530,	-8.90280
7.55803,	3.43611,	-8.89798
7.58715,	3.16908,	-9.17018
7.61626,	2.90597,	-9.03665
7.64539,	2.63894,	-9.16762
7.67450,	2.37975,	-8.90410
7.70364,	2.12057,	-8.89551
7.73274,	1.86925,	-8.63429
7.76187,	1.61792,	-8.62962
7.79098,	1.37052,	-8.49826
7.82010,	1.12705,	-8.35981
7.84922,	0.89143,	-8.09133
7.87834,	0.65973,	-7.95765
7.90747,	0.43590,	-7.68349
7.93658,	0.22384,	-7.28422
7.96569,	0.01963,	-7.01536
7.99482,	-0.17279,	-6.60705
8.02499,	-0.35736,	-6.11637
8.05514,	-0.52622,	-5.60184
8.08528,	-0.64403,	-3.90764
8.11545,	-0.69115,	-1.56207
8.14561,	-0.69704,	-0.19533
8.17578,	-0.66562,	1.04122
8.20490,	-0.60672,	2.02286
8.23402,	-0.52033,	2.96716
8.26313,	-0.40252,	4.04626
8.29226,	-0.26114,	4.85408
8.32138,	-0.09621,	5.66328
8.35050,	0.08
