90.1-9.09895
.00812
7.55939,	3.20639,	-9.16638
7.60960,	2.74693,	-9.15107
7.65978,	2.29532,	-8.99968
7.70998,	1.85157,	-8.83964
7.76012,	1.42353,	-8.53760
7.81026,	1.00727,	-8.30064
7.86028,	0.61065,	-7.92999
7.91031,	0.23758,	-7.45712
7.96032,	-0.10014,	-6.75330
8.01034,	-0.39466,	-5.88816
8.06034,	-0.53996,	-2.90552
8.11038,	-0.55371,	-0.27469
8.16038,	-0.46731,	1.72774
8.21039,	-0.30238,	3.29840
8.26039,	-0.06283,	4.79054
8.31044,	0.24347,	6.12024
8.36050,	0.59298,	6.98162
8.41055,	0.98175,	7.76741
8.46062,	1.39408,	8.23612
8.51067,	1.82605,	8.63045
8.56068,	2.27373,	8.95060
8.61074,	2.71748,	8.86515
8.66075,	3.15337,	8.71571
8.71080,	3.58141,	8.55199
8.76085,	3.99767,	8.31788
8.81089,	4.40215,	8.08309
8.86089,	4.79092,	7.77482
8.91095,	5.15613,	7.29609
8.96098,	5.48993,	6.67217
9.01100,	5.78445,	5.88708
9.06105,	5.93368,	2.98167
9.11108,	5.95135,	0.35319
9.16114,	5.86888,	-1.64746
9.21121,	5.70788,	-3.21576
9.26124,	5.46833,	-4.78827
9.31129,	5.15810,	-6.19823
9.36134,	4.80467,	-7.06060
9.41136,	4.40804,	-7.93067
9.46138,	3.98393,	-8.47757
9.51144,	3.53625,	-8.94411
9.56145,	3.07679,	-9.18702
9.61150,	2.61734,	-9.18036
9.66155,	2.16966,	-8.94429
9.71157,	1.72984,	-8.79222
9.76158,	1.30180,	-8.55868
9.81162,	0.88946,	-8.24146
9.86164,	0.49284,	-7.92870
9.91167,	0.12370,	-7.37806
9.96170,	-0.21402,	-6.75053
10.01172,	-0.51247,	-5.96718
10.06177,	-0.66955,	-3.13834
10.11180,	-0.68330,	-0.27473
10.16183,	-0.60083,	1.64829
10.21185,	-0.43590,	3.29734
10.26191,	-0.19242,	4.86369
10.31193,	0.10996,	6.04512
10.36197,	0.46338,	7.06235
10.41198,	0.84823,	7.69569
10.46198,	1.26056,	8.24601
10.51202,	1.69646,	8.71157
10.56206,	2.14021,	8.86718
10.61212,	2.58396,	8.86431
10.66213,	3.01985,	8.71722
10.71218,	3.44790,	8.55134
10.76222,	3.86808,	8.39700
10.81225,	4.27256,	8.08509
10.86239,	4.66133,	7.75366
10.91242,	5.02654,	7.30069
10.96248,	5.36426,	6.74641
11.01250,	5.65486,	5.80870
11.06252,	5.79623,	2.82629
11.11254,	5.80212,	0.11776
11.16258,	5.71966,	-1.64801
11.21259,	5.55080,	-3.37668
11.26263,	5.30732,	-4.86555
11.31265,	4.99709,	-6.20224
11.36270,	4.63974,	-7.13959
11.41276,	4.24311,	-7.92372
11.46278,	3.81507,	-8.55803
11.51283,	3.36347,	-9.02274
11.56289,	2.90401,	-9.17809
11.61292,	2.44848,	-9.10484
11.66292,	2.00080,	-8.95282
11.71294,	1.56098,	-8.79424
11.76294,	1.13294,	-8.55949
11.81298,	0.72060,	-8.24083
11.86306,	0.32790,	-7.84198
11.91310,	-0.04123,	-7.37624
11.9
