0.05006,	0,	-1,	-1
0.10010,	10,	-11,	-3
0.15012,	54,	-54,	-2
0.20015,	136,	-137,	-1
0.25018,	258,	-259,	-3
0.30021,	412,	-413,	-5
0.35024,	592,	-592,	-4
0.40027,	786,	-787,	-3
0.45028,	996,	-996,	-4
0.50029,	1216,	-1217,	-5
0.55030,	1442,	-1443,	-7
0.60032,	1670,	-1670,	-6
0.65038,	1892,	-1892,	-4
0.70039,	2108,	-2110,	-2
0.75043,	2322,	-2322,	-2
0.80044,	2528,	-2528,	0
0.85045,	2726,	-2726,	2
0.90050,	2912,	-2913,	3
0.95052,	3086,	-3086,	2
1.00054,	3240,	-3240,	4
1.05058,	3334,	-3334,	6
1.10060,	3351,	-3348,	8
1.15064,	3315,	-3313,	7
1.20067,	3237,	-3235,	5
1.25070,	3119,	-3117,	3
1.30074,	2967,	-2964,	4
1.35075,	2787,	-2785,	3
1.40078,	2589,	-2587,	1
1.45081,	2377,	-2374,	2
1.50087,	2151,	-2149,	3
1.55092,	1921,	-1918,	2
1.60095,	1689,	-1686,	2
1.65100,	1461,	-1459,	1
1.70106,	1239,	-1237,	-1
1.75107,	1023,	-1021,	-1
1.80112,	813,	-810,	-2
1.85115,	611,	-608,	0
1.90122,	419,	-417,	-1
1.95127,	245,	-242,	-2
2.00134,	89,	-87,	-3
2.05138,	-9,	12,	-4
2.10141,	-30,	30,	-2
2.15147,	2,	-3,	-3
2.20149,	82,	-82,	-2
2.25153,	200,	-201,	-1
2.30156,	354,	-354,	-2
2.35162,	532,	-533,	-1
2.40165,	728,	-729,	-1
2.45168,	938,	-939,	-3
2.50169,	1160,	-1160,	-4
2.55170,	1386,	-1387,	-3
2.60176,	1614,	-1614,	-2
2.65178,	1836,	-1836,	0
2.70178,	2054,	-2054,	2
2.75178,	2266,	-2266,	2
2.80183,	2472,	-2472,	4
2.85189,	2670,	-2671,	5
2.90194,	2858,	-2858,	6
2.95196,	3030,	-3031,	5
3.00199,	3184,	-3184,	3
3.05200,	3270,	-3271,	1
3.10203,	3285,	-3282,	2
3.15215,	3249,	-3246,	2
3.20237,	3169,	-3166,	2
3.25256,	3049,	-3046,	2
3.30278,	2893,	-2891,	1
3.35291,	2713,	-2711,	1
3.40308,	2515,	-2512,	0
3.45319,	2299,	-2297,	-1
3.50339,	2073,	-2071,	-3
3.55348,	1841,	-1839,	-3
3.60361,	1609,	-1607,	-3
3.65376,	1383,	-1380,	-4
3.70394,	1161,	-1158,	-2
3.75414,	943,	-940,	0
3.80428,	731,	-729,	-1
3.85437,	531,	-528,	0
3.90455,	341,	-338,	2
3.95478,	165,	-163,	1
4.00496,	11,	-9,	-1
4.05517,	-77,	79,	-1
4.10532,	-90,	90,	-2
4.15550,	-54,	53,	-3
4.20550,	30,	-30,	-2
4.25555,	152,	-153,	-1
4.30558,	310,	-310,	-2
4.35564,	490,	-490,	-3
4.40566,	688,	-688,	-4
4.45572,	898,	-899,	-3
4.50575,	1120,	-1121,	-5
4.55576,	1348,	-1349,	-5
4.60578,	1574,	-1574,	-6
4.65583,	1796,	-1797,	-5
4.70584,	2012,	-2013,	-5
4.75590,	2226,	-2226,	-6
4.80591,	2432,	-2432,	-4
4.85592,	2628,	-2629,	-5
4.90596,	2814,	-2815,	-7
4.95600,	2986,	-2986,	-6
5.00603,	3138,	-3138,	-6
5.05605,	3226,	-3227,	-7
5.10608,	3239,	-3237,	-9
5.15614,	3201,	-3199,	-11
5.20615,	3119,	-3117,	-13
5.25617,	2997,	-2994,	-14
5.30619,	2841,	-2838,	-14
5.35620,	2659,	-2656,	-12
5.40626,	2459,	-2456,	-12
5.45630,	2245,	-2242,	-10
5.50636,	2019,	-2016,	-8
5.55637,	1787,	-1784,	-8
5.60642,	1555,	-1553,	-9
5.65647,	1329,	-1327,	-11
5.70650,	1107,	-1105,	-13
5.75653,	891,	-889,	-13
5.80659,	681,	-679,	-15
5.85665,	481,	-478,	-14
5.90671,	291,	-289,	-13
5.95672,	119,	-116,	-12
6.00673,	-35,	38,	-10
6.05676,	-117,	119,	-9
6.10680,	-126,	126,	-10
6.15683,	-86,	86,	-10
6.20689,	0,	0,	-8
6.25690,	124,	-124,	-8
6.30694,	280,	-281,	-9
6.35696,	462,	-462,	-10
6.40701,	660,	-660,	-8
6.45703,	870,	-871,	-8
6.50707,	1094,	-1094,	-6
6.55708,	1320,	-1321,	-5
6.60711,	1546,	-1547,	-7
6.65717,	1768,	-1769,	-9
6.70722,	1986,	-1986,	-10
6.75724,	2198,	-2198,	-10
6.80730,	2404,	-2404,	-8
6.85733,	2600,	-2601,	-9
6.90734,	2786,	-2786,	-10
6.95740,	2956,	-2957,	-9
7.00746,	3108,	-3108,	-8
7.05746,	3192,	-3192,	-8
7.10750,	3199,	-3197,	-9
7.15755,	3157,	-3155,	-11
7.20758,	3073,	-3071,	-11
7.25760,	2949,	-2946,	-10
7.30778,	2789,	-2787,	-11
7.35796,	2607,	-2604,	-12
7.40819,	2405,	-2403,	-11
7.45828,	2191,	-2188,	-12
7.50845,	1963,	-1961,	-13
7.55855,	1731,	-1729,	-13
7.60871,	1499,	-1497,	-13
